Neighborhood,Code,Square,Weight,mg.ml,ppb,Al,Al_Percent,Al_per_day,Al_ppb,Al_ppb_day,Cr,Cr_Percent,Cr_ppb,Cr_ppb_day,Fe,Fe_Percent,Fe_per_day,Fe_Ppb,Fe_ppb_day,Pb,Pb_Percent,Pb_per_day,Pb_ppb,Pb_ppb_day,Ni,Ni_Percent,Ni_ppb,Ni_ppb_day,Area,Density,AADT_max,AADT_sum,AADT_mean,AADT_median,NB,Eastalco_dist_m,Gd_dist_m,Ngc_dist_m,Bmoreterminal_dist_m,Adell_dist_m,Prince_dist_m,Sd_dist_m,Sng_dist_m,Usg_dist_m,Kemira_dist_m
CB,15572,15,15.52,5.173333333,5173333.333,501,0.0096833,0.000403471,96833,4035,BLQ,NA,NA,NA,447,0.0086405,0.000360021,86405,3600,319,0.0061719,0.000257163,61719,2572,BLQ,NA,NA,NA,194.292,7.040948675,7840,13160,6580,6580,CB,4799384.517,11313858.29,14404649.26,10354611.69,8980151.213,4362652.167,9895693.597,6193949.009,11568140.38,2414759.591
CB,15582,15,20.51,6.836666667,6836666.667,751,0.010978,0.000457417,109780,4574,BLQ,NA,NA,NA,662,0.0096779,0.000403246,96779,4032,408,0.0059615,0.000248396,59615,2484,BLQ,NA,NA,NA,194.292,7.040948675,7840,13160,6580,6580,CB,4799384.517,11313858.29,14404649.26,10354611.69,8980151.213,4362652.167,9895693.597,6193949.009,11568140.38,2414759.591
BK,18362,18,0.02,0.006666667,6666.666667,82,1.2233148,0.055605218,12233148,556052,BLQ,NA,NA,NA,BLQ,NA,NA,NA,NA,BLQ,NA,NA,NA,NA,BLQ,NA,NA,NA,68.954,12.34156104,1722,2403,1201.5,1201.5,BK,11776828.8,4328107.898,9243258.342,3783590.305,14531693.18,11835916.35,3867917.002,4238492.445,5146827.655,8640725.846
BK,18372,18,2.7,0.9,9.00E+05,160,0.0178315,0.000810523,178315,8105,BLQ,NA,NA,NA,80,0.0088808,0.000403673,88808,4037,38,0.0042319,0.000192359,42319,1924,BLQ,NA,NA,NA,68.954,12.34156104,1722,2403,1201.5,1201.5,BK,11776828.8,4328107.898,9243258.342,3783590.305,14531693.18,11835916.35,3867917.002,4238492.445,5146827.655,8640725.846
BK,18392,18,0.18,0.06,60000,59,0.0975555,0.004434341,975555,44343,BLQ,NA,NA,NA,304,0.5062022,0.023009191,5062022,230092,BLQ,NA,NA,NA,NA,BLQ,NA,NA,NA,68.954,12.34156104,1722,2403,1201.5,1201.5,BK,11776828.8,4328107.898,9243258.342,3783590.305,14531693.18,11835916.35,3867917.002,4238492.445,5146827.655,8640725.846
BK,18402,18,2.29,0.763333333,763333.3333,124,0.016211,0.000736864,162110,7369,BLQ,NA,NA,NA,63,0.0082909,0.000376859,82909,3769,22,0.0029388,0.000133582,29388,1336,BLQ,NA,NA,NA,68.954,12.34156104,1722,2403,1201.5,1201.5,BK,11776828.8,4328107.898,9243258.342,3783590.305,14531693.18,11835916.35,3867917.002,4238492.445,5146827.655,8640725.846
BK,19412,19,0.12,0.04,40000,424,1.0598525,0.048175114,10598525,481751,BLQ,NA,NA,NA,BLQ,NA,NA,NA,NA,BLQ,NA,NA,NA,NA,BLQ,NA,NA,NA,68.954,12.34156104,1901,2582,1291,1291,BK,4749217.17,17082216.78,13082367.18,17837297.33,3351484.854,3955803.941,15584750.4,12283317.22,16035589.38,7605298.901
BK,19422,19,2,0.666666667,666666.6667,126,0.0188955,0.000858886,188955,8589,427,0,639928,29088,72,0.0107587,0.000489032,107587,4890,29,0.0043136,0.000196073,43136,1961,BLQ,NA,NA,NA,68.954,12.34156104,1901,2582,1291,1291,BK,4749217.17,17082216.78,13082367.18,17837297.33,3351484.854,3955803.941,15584750.4,12283317.22,16035589.38,7605298.901
BK,19432,19,0.33,0.11,110000,112,0.1022404,0.004647291,1022404,46473,BLQ,NA,NA,NA,BLQ,NA,NA,NA,NA,BLQ,NA,NA,NA,NA,58,0.053139475,531394.748,24154.30673,68.954,12.34156104,1901,2582,1291,1291,BK,4749217.17,17082216.78,13082367.18,17837297.33,3351484.854,3955803.941,15584750.4,12283317.22,16035589.38,7605298.901
BK,19442,19,0.38,0.126666667,126666.6667,45,0.0354229,0.001610132,354229,16101,BLQ,NA,NA,NA,BLQ,NA,NA,NA,NA,BLQ,NA,NA,NA,NA,BLQ,NA,NA,NA,68.954,12.34156104,1901,2582,1291,1291,BK,4749217.17,17082216.78,13082367.18,17837297.33,3351484.854,3955803.941,15584750.4,12283317.22,16035589.38,7605298.901
BK,20122,20,1.66,0.553333333,553333.3333,103,0.0186749,0.000848859,186749,8489,BLQ,NA,NA,NA,47,0.0084699,0.000384995,84699,3850,70,0.0126056,0.000572982,126056,5730,BLQ,NA,NA,NA,23.876,33.21326855,2971,2971,2971,2971,BK,7675213.209,16300493.25,11933186.63,14898417.79,6947705.591,8138442.447,17431905.66,17220916.77,15847927.85,10693342.42
BK,20132,20,0.83,0.276666667,276666.6667,67,0.0243133,0.00110515,243133,11051,BLQ,NA,NA,NA,24,0.0087094,0.000395882,87094,3959,3,0.0010943,4.97E-05,10943,497,BLQ,NA,NA,NA,23.876,33.21326855,2971,2971,2971,2971,BK,7675213.209,16300493.25,11933186.63,14898417.79,6947705.591,8138442.447,17431905.66,17220916.77,15847927.85,10693342.42
BK,21012,21,0.82,0.273333333,273333.3333,71,0.025824,0.001173818,258240,11738,BLQ,NA,NA,NA,BLQ,NA,NA,NA,NA,BLQ,NA,NA,NA,NA,BLQ,NA,NA,NA,80.857,26.34280272,561,561,561,561,BK,6454844.402,15163125.19,15115722.38,10884681.75,10895305.06,8077240.343,16531952.62,16245934.89,16073344.55,8099964.966
BK,21022,21,2.13,0.71,710000,91,0.0128249,0.00058295,128249,5829,BLQ,NA,NA,NA,45,0.0062991,0.000286323,62991,2863,20,0.0027931,0.000126959,27931,1270,BLQ,NA,NA,NA,80.857,26.34280272,561,561,561,561,BK,6454844.402,15163125.19,15115722.38,10884681.75,10895305.06,8077240.343,16531952.62,16245934.89,16073344.55,8099964.966
BK,21032,21,0.25,0.083333333,83333.33333,39,0.0463219,0.002105541,463219,21055,BLQ,NA,NA,NA,BLQ,NA,NA,NA,NA,BLQ,NA,NA,NA,NA,BLQ,NA,NA,NA,80.857,26.34280272,561,561,561,561,BK,6454844.402,15163125.19,15115722.38,10884681.75,10895305.06,8077240.343,16531952.62,16245934.89,16073344.55,8099964.966
