,tablepb.comparisons,tablepb.Z,tablepb.P.adjusted
189,42 - 55,-0.242426514,0.404224846
246,32 - 58,-0.240180913,0.405095005
237,15 - 58,-0.218672174,0.413452713
265,23 - 59,0.216296343,0.41437838
144,19 - 42,0.21460888,0.415036135
294,42 - 6,-0.21460888,0.415036135
34,15 - 20,0.211502595,0.416247554
160,18 - 43,-0.207794155,0.417694848
193,Dec-56,-0.202606701,0.419721226
67,3-Jan,0.191519821,0.424059176
100,20 - 32,-0.189993856,0.424656972
323,58 - 7,-0.180703274,0.428300244
12,15-Oct,-0.180204781,0.428495903
458,58 - 9,-0.175654697,0.430282614
27,15 - 19,0.175227417,0.430450471
375,59 - 71,-0.171421432,0.431946202
171,42 - 43,-0.169663217,0.432637502
105,31 - 32,0.161235857,0.43595382
99,19 - 32,-0.158799847,0.436913285
382,13 - 72,-0.158799847,0.436913285
162,20 - 43,0.155845616,0.438077357
93,Oct-32,-0.151751395,0.43969151
116,22 - 33,-0.148592965,0.440937412
373,57 - 71,0.148455315,0.440991724
112,18 - 33,0.146932656,0.441592588
222,23 - 57,-0.143639866,0.442892429
356,14 - 71,0.139634348,0.44447445
6,13-Dec,-0.13689642,0.445556334
60,14 - 23,0.13278247,0.447182709
84,15 - 31,-0.13278247,0.447182709
285,20 - 6,0.13263722,0.447240147
173,Oct-55,0.129052431,0.448658081
433,70 - 73,0.12244388,0.451273744
245,31 - 58,-0.118298062,0.452915747
301,7-Jan,-0.114992992,0.454225338
161,19 - 43,0.10730444,0.457273731
91,31-Mar,0.105666108,0.457923636
436,9-Jan,-0.104329084,0.458454099
190,43 - 55,-0.103897077,0.458625513
232,Jan-58,0.096789323,0.461446852
40,13 - 21,-0.093089565,0.462916204
399,56 - 72,-0.093089565,0.462916204
284,19 - 6,0.087613709,0.465091853
296,55 - 6,0.078865374,0.468569852
30,20-Oct,0.075280585,0.469995734
388,21 - 72,-0.073466328,0.470717519
23,19-Oct,0.071186138,0.471624807
143,18 - 42,-0.069264718,0.472389454
194,13 - 56,-0.059985006,0.476083788
180,20 - 55,0.044988754,0.482058136
244,Mar-58,-0.042855358,0.482908418
295,43 - 6,-0.035768147,0.485733616
97,15 - 32,0.028453386,0.488650273
200,21 - 56,0.027379284,0.489078611
363,23 - 71,0.024641356,0.490170516
461,9-Jul,0.024641356,0.490170516
179,19 - 55,0.024488776,0.490231368
36,19 - 20,-0.012244388,0.495115318
215,14 - 57,-0.004953099,0.498024008
