Square,mg.ml,Al_per_day,Fe_per_day,Pb_per_day,Density,AADT_max,AADT_sum,AADT_mean,Gd_dist_m,Bmoreterminal_dist_m,Adell_dist_m,Sng_dist_m,Usg_dist_m,Kemira_dist_m,Ngc_dist_m,Prince_dist_m,Sd_dist_m,Eastalco_dist_m
14,5.006666667,0.000341271,0.000254058,0.000587104,7.040948675,2891,2891,2891,10229742.08,5609482.069,15658134.84,11227654.03,11371706.76,6968771.301,14296676.65,9976308.355,10958289.85,8295174.519
14,3.573333333,0.000598646,0.000399929,0.000614075,7.040948675,2891,2891,2891,10229742.08,5609482.069,15658134.84,11227654.03,11371706.76,6968771.301,14296676.65,9976308.355,10958289.85,8295174.519
43,0.183333333,0.002241141,0.001140914,0.000621573,23.11399401,15830,17321,8660.5,16895054.3,12265360.09,9233399.8,14445347.94,18034916.91,5998602.684,17082899.8,5492063.363,17227533.12,3888635.673
57,1.296666667,0.000536414,0.000357409,0.000634018,16.00025481,15830,32322,10774,18280510.36,14765704.26,7042568.634,16048882.92,18073973.96,8472781.668,14106540,6246287.196,19535915.11,5512915.229
23,4.823333333,0.00042405,0.000306233,0.000699879,14.49246351,7840,13160,6580,2575598.397,5665940.749,13441919.98,8004069.081,2463818.331,15391228.02,3452171.247,17794603.58,4065983.924,18527180.51
9,0.736666667,0.000609996,0.000305563,0.000740379,7.040949,11232,14123,7061.5,12596014.71,16456356.19,3812365.711,12383369.11,11518141.52,13119525.38,7634652.535,9387291.291,12395444.71,10410970.65
42,0.493333333,0.001298159,0.000485741,0.000753759,54.44636004,15830,17731,8865.5,6508472.757,4465082.905,14432502.75,5199348.263,7364307.153,6604493.522,11461674,10097472.65,6046176.707,9716330.811
14,2.59,0.000739379,0.000483871,0.000924179,7.040948675,2891,2891,2891,10229742.08,5609482.069,15658134.84,11227654.03,11371706.76,6968771.301,14296676.65,9976308.355,10958289.85,8295174.519
31,3.79,0.000296768,0.000370873,0.000936009,23.11399401,2971,2971,2971,8240461.73,12716765.03,5572540.976,6232096.922,7174069.193,11848831.62,5758208.815,9911088.704,7070849.791,11751390.44
41,2.736666667,0.000983295,0.000100777,0.0010028,10.26783045,1901,1901,1901,6367464.692,3694605.385,17506485.23,11282187.23,7209533.97,12713154.9,8525770.001,15879970.9,8019335.23,14100213.55
9,0.803333333,0.000516896,0.000358783,0.00110305,7.040949,11232,14123,7061.5,12596014.71,16456356.19,3812365.711,12383369.11,11518141.52,13119525.38,7634652.535,9387291.291,12395444.71,10410970.65
73,3.516666667,0.000352277,0.000812286,0.001222259,13.52894734,52294,59087,14771.75,10107030.01,11971789.95,8685017.418,14018202.52,9516208.374,16994203.23,5757745.23,13677413.35,11123046.56,13873755.38
41,0.806666667,0.000750609,0.000341895,0.001281782,10.26783045,1901,1901,1901,6367464.692,3694605.385,17506485.23,11282187.23,7209533.97,12713154.9,8525770.001,15879970.9,8019335.23,14100213.55
57,0.4,0.001051832,0.00052825,0.001370377,16.00025481,15830,32322,10774,18280510.36,14765704.26,7042568.634,16048882.92,18073973.96,8472781.668,14106540,6246287.196,19535915.11,5512915.229
59,0.42,0.002383814,0.001352045,0.001438241,13.52894734,15830,18672,6224,17421975.81,12966414.22,8350264.936,13550540.8,18450026.91,5234003.622,17452145.86,4284631.052,16991679.11,2749324.902
71,0.34,0.001210227,0.001217045,0.001471282,13.52894734,64785,183858,16714.36364,9144066.087,9012138.056,9843512.735,4047458.74,9356847.658,4405337.127,12420139.32,6409635.739,7685206.328,7010408.142
