"Date","PM2.5","Yr.x","Site","combo.x","mo.x","Fe","Pb","Al","Yr.y","mo.y","combo.y","Alper","Feper","Pbper"
2012-09-21,7.3,"12","ES","12-09","09",0.0559,0,0.015,"12","09","12-09",0.205479452054795,0.765753424657534,0
2012-09-27,10.7,"12","ES","12-09","09",0.0528,0.001,0.06,"12","09","12-09",0.560747663551402,0.493457943925234,0.00934579439252337
2012-10-06,12.4,"12","ES","12-10","10",0.0447,0.004,0.024,"12","10","12-10",0.193548387096774,0.360483870967742,0.032258064516129
2012-10-15,7.2,"12","ES","12-10","10",0.0495,0.001,0,"12","10","12-10",0,0.6875,0.0138888888888889
2012-10-21,5.2,"12","ES","12-10","10",0.0304,0,0,"12","10","12-10",0,0.584615384615385,0
2012-10-24,19.1,"12","ES","12-10","10",0.157,0,0.069,"12","10","12-10",0.361256544502618,0.821989528795812,0
2012-10-27,6.1,"12","ES","12-10","10",0.0281,0.005,0,"12","10","12-10",0,0.460655737704918,0.0819672131147541
2012-10-30,1.8,"12","ES","12-10","10",NA,NA,NA,"12","10","12-10",NA,NA,NA
2012-11-02,5,"12","ES","12-11","11",0.0429,0,0,"12","11","12-11",0,0.858,0
2012-11-08,4.8,"12","ES","12-11","11",0.0289,0,0,"12","11","12-11",0,0.602083333333333,0
2012-11-11,21.6,"12","ES","12-11","11",0.055,0,0,"12","11","12-11",0,0.25462962962963,0
2012-11-14,8.4,"12","ES","12-11","11",0.0524,0,0.008,"12","11","12-11",0.0952380952380952,0.623809523809524,0
2012-11-17,13.6,"12","ES","12-11","11",0.0612,0.005,0,"12","11","12-11",0,0.45,0.0367647058823529
2012-11-20,16.5,"12","ES","12-11","11",0.0875,0.004,0.018,"12","11","12-11",0.109090909090909,0.53030303030303,0.0242424242424242
2012-11-23,21.8,"12","ES","12-11","11",NA,NA,NA,"12","11","12-11",NA,NA,NA
2012-11-29,18.2,"12","ES","12-11","11",0.0894,0.006,0,"12","11","12-11",0,0.491208791208791,0.032967032967033
2013-11-30,14,"13","ES","13-11","11",NA,NA,NA,"13","11","13-11",NA,NA,NA
2013-11-27,3.2,"13","ES","13-11","11",0.0099,0,0.006,"13","11","13-11",0.1875,0.309375,0
2013-11-24,1.7,"13","ES","13-11","11",0.0066,0,0,"13","11","13-11",0,0.388235294117647,0
2013-11-21,9,"13","ES","13-11","11",0.0918,0.003,0.038,"13","11","13-11",0.422222222222222,1.02,0.0333333333333333
2013-11-15,26.8,"13","ES","13-11","11",0.287,0.007,0.03,"13","11","13-11",0.111940298507463,1.07089552238806,0.0261194029850746
2013-11-09,9.9,"13","ES","13-11","11",NA,NA,NA,"13","11","13-11",NA,NA,NA
2013-11-03,17.7,"13","ES","13-11","11",0.0431,0,0.183,"13","11","13-11",1.03389830508475,0.243502824858757,0
2013-10-31,2.6,"13","ES","13-10","10",0.0473,0.002,0.011,"13","10","13-10",0.423076923076923,1.81923076923077,0.0769230769230769
2013-10-28,12.1,"13","ES","13-10","10",0.107,0.004,0.022,"13","10","13-10",0.181818181818182,0.884297520661157,0.0330578512396694
2013-10-16,7.9,"13","ES","13-10","10",0.0265,0.002,0,"13","10","13-10",0,0.335443037974684,0.0253164556962025
2013-10-13,7.4,"13","ES","13-10","10",0.0134,0,0,"13","10","13-10",0,0.181081081081081,0
2013-10-10,2.5,"13","ES","13-10","10",0.026,0.003,0.01,"13","10","13-10",0.4,1.04,0.12
2013-10-04,22,"13","ES","13-10","10",0.149,0.003,0.025,"13","10","13-10",0.113636363636364,0.677272727272727,0.0136363636363636
2013-10-01,13.4,"13","ES","13-10","10",0.128,0.006,0,"13","10","13-10",0,0.955223880597015,0.0447761194029851
2013-09-28,6.5,"13","ES","13-09","09",0.0318,0.002,0,"13","09","13-09",0,0.489230769230769,0.0307692307692308
2013-09-25,6,"13","ES","13-09","09",0.0924,0.004,0.018,"13","09","13-09",0.3,1.54,0.0666666666666667
2013-09-22,3.5,"13","ES","13-09","09",0.0074,0.001,0,"13","09","13-09",0,0.211428571428571,0.0285714285714286
2013-09-19,7.1,"13","ES","13-09","09",0.0874,0.002,0.011,"13","09","13-09",0.154929577464789,1.23098591549296,0.028169014084507
2013-09-16,7,"13","ES","13-09","09",0.0422,0.006,0.02,"13","09","13-09",0.285714285714286,0.602857142857143,0.0857142857142857
2013-09-10,17.4,"13","ES","13-09","09",0.0525,0,0.013,"13","09","13-09",0.0747126436781609,0.301724137931034,0
2013-09-04,5.4,"13","ES","13-09","09",NA,NA,NA,"13","09","13-09",NA,NA,NA
2013-09-01,12.1,"13","ES","13-09","09",NA,NA,NA,"13","09","13-09",NA,NA,NA
2014-11-28,7.7,"14","ES","14-11","11",NA,NA,NA,"14","11","14-11",NA,NA,NA
2014-11-25,8.7,"14","ES","14-11","11",0.0913,0.002,0.005,"14","11","14-11",0.0574712643678161,1.04942528735632,0.0229885057471264
2014-11-22,15.4,"14","ES","14-11","11",0.072,0.007,0.005,"14","11","14-11",0.0324675324675325,0.467532467532467,0.0454545454545455
2014-11-19,5,"14","ES","14-11","11",0.0274,0,0.004,"14","11","14-11",0.08,0.548,0
2014-11-16,12.3,"14","ES","14-11","11",0.0303,0.003,0.035,"14","11","14-11",0.284552845528455,0.246341463414634,0.024390243902439
2014-11-04,15,"14","ES","14-11","11",0.188,0.002,0.033,"14","11","14-11",0.22,1.25333333333333,0.0133333333333333
2014-11-01,3.9,"14","ES","14-11","11",0.0077,0,0,"14","11","14-11",0,0.197435897435897,0
2014-10-29,11.4,"14","ES","14-10","10",0.12,0.001,0.041,"14","10","14-10",0.359649122807018,1.05263157894737,0.0087719298245614
2014-10-26,5.9,"14","ES","14-10","10",0.0387,0,0,"14","10","14-10",0,0.65593220338983,0
2014-10-23,3.5,"14","ES","14-10","10",0.0243,0,0,"14","10","14-10",0,0.694285714285714,0
2014-10-20,7.4,"14","ES","14-10","10",0.128,0,0.015,"14","10","14-10",0.202702702702703,1.72972972972973,0
2014-10-14,5.1,"14","ES","14-10","10",0.0086,0,0.002,"14","10","14-10",0.0392156862745098,0.168627450980392,0
2014-10-11,8.2,"14","ES","14-10","10",0.0365,0.004,0,"14","10","14-10",0,0.445121951219512,0.0487804878048781
2014-10-08,6,"14","ES","14-10","10",0.0353,0,0,"14","10","14-10",0,0.588333333333333,0
2014-10-05,6.2,"14","ES","14-10","10",0.0476,0,0,"14","10","14-10",0,0.767741935483871,0
2014-10-02,5.2,"14","ES","14-10","10",0.0644,0.002,0,"14","10","14-10",0,1.23846153846154,0.0384615384615385
2014-09-29,17.2,"14","ES","14-09","09",0.266,0.009,0.027,"14","09","14-09",0.156976744186047,1.54651162790698,0.0523255813953488
2014-09-26,9.4,"14","ES","14-09","09",0.0857,0.004,0,"14","09","14-09",0,0.911702127659574,0.0425531914893617
2014-09-20,9.7,"14","ES","14-09","09",0.0242,0.004,0.014,"14","09","14-09",0.144329896907217,0.249484536082474,0.0412371134020619
2014-09-17,7.7,"14","ES","14-09","09",0.0853,0.005,0,"14","09","14-09",0,1.10779220779221,0.0649350649350649
2014-09-14,4.8,"14","ES","14-09","09",0.0287,0.005,0,"14","09","14-09",0,0.597916666666667,0.104166666666667
2014-09-11,7.7,"14","ES","14-09","09",0.183,0.003,0,"14","09","14-09",0,2.37662337662338,0.038961038961039
2014-09-08,5.5,"14","ES","14-09","09",0.0199,0.002,0,"14","09","14-09",0,0.361818181818182,0.0363636363636364
2014-09-05,14.2,"14","ES","14-09","09",0.0897,0,0.055,"14","09","14-09",0.387323943661972,0.63169014084507,0
2014-09-02,12.6,"14","ES","14-09","09",0.209,0,0.229,"14","09","14-09",1.81746031746032,1.65873015873016,0
2015-11-29,6.2,"15","ES","15-11","11",0.004,0.016,0,"15","11","15-11",0,0.0645161290322581,0.258064516129032
2015-11-26,14.9,"15","ES","15-11","11",0.058,0,0.011,"15","11","15-11",0.0738255033557047,0.389261744966443,0
2015-11-23,5.7,"15","ES","15-11","11",0.064,0.001,0.031,"15","11","15-11",0.543859649122807,1.12280701754386,0.0175438596491228
2015-11-20,6.5,"15","ES","15-11","11",0.033,0.003,0.004,"15","11","15-11",0.0615384615384615,0.507692307692308,0.0461538461538461
2015-11-17,5.2,"15","ES","15-11","11",0.077,0.001,0.011,"15","11","15-11",0.211538461538462,1.48076923076923,0.0192307692307692
2015-11-14,8.1,"15","ES","15-11","11",0.092,0,0.088,"15","11","15-11",1.08641975308642,1.1358024691358,0
2015-11-11,3.5,"15","ES","15-11","11",0.028,0,0.005,"15","11","15-11",0.142857142857143,0.8,0
2015-11-08,9.4,"15","ES","15-11","11",0.07,0.003,0.026,"15","11","15-11",0.276595744680851,0.74468085106383,0.0319148936170213
2015-11-05,20.6,"15","ES","15-11","11",0.141,0,0.043,"15","11","15-11",0.20873786407767,0.684466019417476,0
2015-11-02,10.2,"15","ES","15-11","11",0.185,0.001,0.013,"15","11","15-11",0.127450980392157,1.81372549019608,0.00980392156862745
2015-10-30,4.2,"15","ES","15-10","10",0.0512,0.002,0,"15","10","15-10",0,1.21904761904762,0.0476190476190476
2015-10-27,4.4,"15","ES","15-10","10",NA,NA,NA,"15","10","15-10",NA,NA,NA
2015-10-24,4.6,"15","ES","15-10","10",NA,NA,NA,"15","10","15-10",NA,NA,NA
2015-10-18,4.7,"15","ES","15-10","10",0.0437,0.002,0.011,"15","10","15-10",0.234042553191489,0.929787234042553,0.0425531914893617
2015-10-15,8.2,"15","ES","15-10","10",0.121,0,0.067,"15","10","15-10",0.817073170731707,1.47560975609756,0
2015-10-12,8.8,"15","ES","15-10","10",0.0896,0.001,0,"15","10","15-10",0,1.01818181818182,0.0113636363636364
2015-10-09,10.6,"15","ES","15-10","10",0.0978,0,0.029,"15","10","15-10",0.273584905660377,0.922641509433962,0
2015-10-06,6.2,"15","ES","15-10","10",0.0816,0.001,0,"15","10","15-10",0,1.31612903225806,0.0161290322580645
2015-10-03,1.2,"15","ES","15-10","10",0.0039,0,0.013,"15","10","15-10",1.08333333333333,0.325,0
2015-09-30,1.9,"15","ES","15-09","09",0.0391,0,0.001,"15","09","15-09",0.0526315789473684,2.05789473684211,0
2015-09-27,4.4,"15","ES","15-09","09",0.0194,0,0.017,"15","09","15-09",0.386363636363636,0.440909090909091,0
2015-09-24,5.9,"15","ES","15-09","09",0.083,0.003,0.015,"15","09","15-09",0.254237288135593,1.40677966101695,0.0508474576271186
2015-09-21,3.5,"15","ES","15-09","09",0.0384,0.002,0,"15","09","15-09",0,1.09714285714286,0.0571428571428571
2015-09-18,12.9,"15","ES","15-09","09",0.118,0.004,0.034,"15","09","15-09",0.263565891472868,0.914728682170542,0.0310077519379845
